# Number of Traces
2967
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 9; 0; 0; 0; 0.262942; 0.66478; -0.65539
1; 0; 34; 5.55112e-17; -5.55112e-17; 5.55112e-17; 0.0381041; 0.333006; -0.0368822
2; 0; 49; 0; 0; 0; 1.56623; 0.97366; 0.0870904
3; 0; 68; -1.11022e-16; 2.77556e-17; -5.55112e-17; -0.0980045; 0.0605434; 0.063972
4; 0; 72; 0; 0; 0; 1.08452; -0.237799; 0.786504
5; 0; 86; 0; 0; 0; 1.13233; 1.49003; 0.659497
6; 0; 101; 0; 0; 0; 1.49726; 1.71831; 0.625112
7; 0; 110; 0; 0; 0; 0.113432; -0.11484; 0.0794411
8; 0; 140; 0; 0; 0; 0.311325; -0.0649421; 0.988427
9; 0; 143; 0; 0; 0; 0.000883839; -0.000427574; -0.00054243
10; 0; 168; -1.11022e-16; 2.77556e-17; -5.55112e-17; 0.710454; 0.47881; -0.218669
11; 1; 40; 0; 0; 0; -0.054507; -0.00112301; 0.198742
12; 2; 39; 2.77556e-17; 5.55112e-17; -2.77556e-17; 0.365176; 0.836088; 0.0711567
13; 2; 40; -2.77556e-17; -2.77556e-17; 2.77556e-17; -0.054507; -0.00112301; 0.198742
14; 2; 46; 8.32667e-17; 8.32667e-17; -5.55112e-17; 1.36738; 0.634279; 0.874444
15; 2; 53; -2.77556e-17; -2.77556e-17; 2.77556e-17; -0.31536; 0.388267; 0.422337
16; 2; 68; 0; 0; 0; -0.0980045; 0.0605434; 0.063972
17; 2; 82; 0; 0; 0; 0.33056; -0.287884; 0.0699657
18; 2; 90; -5.55112e-17; -5.55112e-17; 5.55112e-17; -0.297624; 0.0868975; 0.107217
19; 2; 98; -2.77556e-17; -2.77556e-17; 2.77556e-17; -0.185025; 0.00911666; 0.0181559
20; 2; 110; 2.77556e-17; 5.55112e-17; -2.77556e-17; 0.113432; -0.11484; 0.0794411
21; 2; 118; 8.32667e-17; 8.32667e-17; -5.55112e-17; -0.0141067; -0.000894977; 0.00887667
22; 2; 119; 0; 0; 0; 0.068784; -0.133475; 0.128407
23; 2; 135; 0; 0; 0; -0.374574; 0.0100736; 0.325285
24; 2; 149; 1.11022e-16; 1.11022e-16; -5.55112e-17; 0.781446; 1.48124; 1.19246
25; 2; 159; 0; 0; 0; 0.196556; -0.0402242; 0.141854
26; 2; 164; 0; 0; 0; -0.432511; 0.320413; 0.161715
27; 2; 176; 0; 0; 0; -0.45857; 0.933503; 0.538439
28; 2; 189; 2.77556e-17; 5.55112e-17; -2.77556e-17; -0.221069; 0.142232; 0.146482
29; 2; 194; 2.77556e-17; 5.55112e-17; -2.77556e-17; -0.0462167; 0.899406; -0.153053
30; 3; 23; -2.77556e-17; 5.55112e-17; -2.77556e-17; 0.383334; 0.430292; 1.01771
31; 3; 34; 0; 0; 0; 0.0381041; 0.333006; -0.0368822
32; 3; 51; 0; 0; 0; 0.196265; -0.114721; -0.375391
33; 3; 66; 2.77556e-17; -2.77556e-17; 2.77556e-17; 0.0271872; -0.0166235; -0.0514086
34; 3; 68; 0; 0; 0; -0.0980045; 0.0605434; 0.063972
35; 3; 72; 2.77556e-17; -2.77556e-17; 2.77556e-17; 1.08452; -0.237799; 0.786504
36; 3; 118; 2.77556e-17; -2.77556e-17; 2.77556e-17; -0.0141067; -0.000894977; 0.00887667
37; 3; 144; 0; 0; 0; 0.175559; 0.156205; 0.386334
38; 3; 168; 2.77556e-17; -2.77556e-17; 2.77556e-17; 0.710454; 0.47881; -0.218669
39; 3; 189; 0; 0; 0; -0.221069; 0.142232; 0.146482
40; 4; 34; 0; 0; 0; 0.0381041; 0.333006; -0.0368822
41; 4; 38; -5.55112e-17; 2.77556e-17; -1.11022e-16; 0.903159; 0.438591; 2.01715
42; 4; 68; 0; 0; 0; -0.0980045; 0.0605434; 0.063972
43; 4; 82; 5.55112e-17; -2.77556e-17; 1.11022e-16; 0.33056; -0.287884; 0.0699657
44; 4; 110; 0; 0; 0; 0.113432; -0.11484; 0.0794411
45; 4; 142; 5.55112e-17; -2.77556e-17; 1.11022e-16; 0.184952; 0.0885356; -0.0644098
46; 4; 168; -5.55112e-17; 2.77556e-17; -1.11022e-16; 0.710454; 0.47881; -0.218669
47; 4; 180; 0; 0; 0; -0.168244; -0.0907687; 0.456113
48; 4; 195; -5.55112e-17; 2.77556e-17; -1.11022e-16; 0.373675; -0.430403; 0.0930082
49; 5; 6; -2.77556e-17; -3.46945e-18; 1.38778e-17; 0.0577535; -0.0164796; 0.00372429
50; 5; 21; -2.77556e-17; -3.46945e-18; 1.38778e-17; 0.0841276; -0.0236843; 0.0759366
51; 5; 27; 5.55112e-17; 1.04083e-17; -2.77556e-17; 0.406922; 0.198617; 1.17116
52; 5; 32; -2.77556e-17; -3.46945e-18; 1.38778e-17; -0.167192; 0.127646; -0.0219166
53; 5; 33; -1.11022e-16; -2.08167e-17; 6.93889e-17; 0.801319; 1.32544; 0.26046
54; 5; 46; -2.77556e-17; -3.46945e-18; 1.38778e-17; 1.36738; 0.634279; 0.874444
55; 5; 50; 0; 0; 0; -0.735836; 1.82277; 0.320984
56; 5; 53; 0; 0; 0; -0.31536; 0.388267; 0.422337
57; 5; 55; 0; 0; 0; 0.0587851; -0.076563; 0.030863
58; 5; 58; -2.77556e-17; -3.46945e-18; 1.38778e-17; -0.00416846; -0.104423; 0.107854
59; 5; 71; -2.77556e-17; -6.93889e-18; 2.77556e-17; 0.49834; 0.404935; -0.198591
60; 5; 73; 5.55112e-17; 1.04083e-17; -2.77556e-17; -0.554453; 0.386149; 0.201019
61; 5; 75; -2.77556e-17; -3.46945e-18; 1.38778e-17; -0.00906779; 0.00905967; -0.00937866
62; 5; 76; 5.55112e-17; 1.04083e-17; -2.77556e-17; -0.777539; 0.512327; 0.120262
63; 5; 77; 0; 0; 0; -0.10635; -0.177308; 0.874154
64; 5; 85; -2.77556e-17; -3.46945e-18; 1.38778e-17; 0.00586849; -0.012294; 0.00852715
