# Number of Traces
262
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 2; 0; 0; 0; 0.332679; 1.19518; -0.786198
1; 0; 22; 1.04083e-17; -6.93889e-18; 2.77556e-17; -0.318754; 0.000597997; 0.328694
2; 0; 31; 3.46945e-18; -3.46945e-18; 1.38778e-17; -0.0514921; 0.0487103; -0.103255
3; 0; 38; 3.46945e-18; -3.46945e-18; 1.38778e-17; 0.0792567; -0.00652043; -0.0585746
4; 0; 39; 3.46945e-18; -3.46945e-18; 1.38778e-17; 0.0170241; 0.213433; -0.486771
5; 1; 3; -6.93889e-18; -2.77556e-17; 1.11022e-16; 0.486995; 0.510493; -0.185895
6; 1; 14; 0; 0; 0; -0.291417; 0.358332; 0.426064
7; 1; 29; -3.46945e-18; -2.77556e-17; 5.55112e-17; 0.00374666; -0.0144238; 0.00297868
8; 2; 6; 0; 0; 0; 0.0245196; 0.0371437; -0.278395
9; 2; 14; 0; 0; 0; -0.291417; 0.358332; 0.426064
10; 2; 31; 2.77556e-17; 0; -5.55112e-17; -0.0514921; 0.0487103; -0.103255
11; 2; 49; 0; 0; 0; -1.07613; 0.530675; 0.453605
12; 3; 4; 2.77556e-17; 0; -1.38778e-17; -0.17467; -0.177608; 0.33975
13; 3; 9; 0; 0; 0; 0.104812; -0.0423668; -0.00653919
14; 3; 13; 2.77556e-17; 0; -1.38778e-17; 0.370323; -0.390281; -0.0667745
15; 3; 14; 0; 0; 0; -0.291417; 0.358332; 0.426064
16; 3; 22; 8.32667e-17; 5.55112e-17; -2.77556e-17; -0.318754; 0.000597997; 0.328694
17; 3; 23; -2.77556e-17; -5.55112e-17; 1.38778e-17; 0.00584805; 0.714559; 0.484362
18; 3; 24; -2.77556e-17; -5.55112e-17; 1.38778e-17; -0.000683658; 0.00226379; -0.00081086
19; 3; 27; 0; 0; 0; -0.0130967; -0.024264; 0.0280362
20; 3; 28; 2.77556e-17; 0; -1.38778e-17; -0.121718; 0.265379; 0.0391071
21; 3; 29; 0; 0; 0; 0.00374666; -0.0144238; 0.00297868
22; 3; 32; 2.77556e-17; 0; -1.38778e-17; -0.218143; 0.405321; 1.02665
23; 3; 34; 0; 0; 0; 0.0469359; -0.0341546; 0.0334365
24; 3; 35; -2.77556e-17; -5.55112e-17; 1.38778e-17; -0.473028; 0.878966; 1.09002
25; 3; 36; 2.77556e-17; 0; -1.38778e-17; 0.0874632; -0.104264; -0.0224827
26; 3; 41; 0; 0; 0; 0.0917202; -0.228058; 0.143663
27; 3; 42; 0; 0; 0; -0.507726; 0.407506; 0.335225
28; 3; 43; -8.32667e-17; -1.11022e-16; 2.77556e-17; -0.11629; 1.72388; 0.511301
29; 3; 44; -2.77556e-17; -5.55112e-17; 1.38778e-17; 0.0241872; -0.0186429; -0.00356533
30; 3; 45; 0; 0; 0; -0.132524; -0.100949; 0.161789
31; 3; 47; -2.77556e-17; -5.55112e-17; 1.38778e-17; -0.238159; 0.24874; 0.219372
32; 3; 48; -2.77556e-17; -5.55112e-17; 1.38778e-17; 0.058771; -0.199569; 0.215958
33; 3; 49; 0; 0; 0; -1.07613; 0.530675; 0.453605
34; 4; 9; 0; 0; 0; 0.104812; -0.0423668; -0.00653919
35; 4; 13; 1.38778e-17; 1.38778e-17; -2.77556e-17; 0.370323; -0.390281; -0.0667745
36; 4; 14; 0; -1.38778e-17; 2.77556e-17; -0.291417; 0.358332; 0.426064
37; 4; 23; -1.38778e-17; -2.77556e-17; 5.55112e-17; 0.00584805; 0.714559; 0.484362
38; 4; 28; 0; -1.38778e-17; 2.77556e-17; -0.121718; 0.265379; 0.0391071
39; 4; 35; 2.77556e-17; 2.77556e-17; -2.77556e-17; -0.473028; 0.878966; 1.09002
40; 4; 42; 1.38778e-17; 1.38778e-17; -2.77556e-17; -0.507726; 0.407506; 0.335225
41; 4; 43; 0; -1.38778e-17; 2.77556e-17; -0.11629; 1.72388; 0.511301
42; 4; 44; 2.77556e-17; 2.77556e-17; -2.77556e-17; 0.0241872; -0.0186429; -0.00356533
43; 4; 47; 1.38778e-17; 1.38778e-17; -2.77556e-17; -0.238159; 0.24874; 0.219372
44; 5; 14; 0; 0; 0; -0.291417; 0.358332; 0.426064
45; 5; 27; -1.11022e-16; -1.11022e-16; 1.04083e-17; -0.0130967; -0.024264; 0.0280362
46; 5; 29; 0; 0; 0; 0.00374666; -0.0144238; 0.00297868
47; 5; 47; -1.11022e-16; -5.55112e-17; 6.93889e-18; -0.238159; 0.24874; 0.219372
48; 6; 8; -5.20417e-18; -6.93889e-18; 5.55112e-17; 0.19874; 0.333391; 0.52317
49; 6; 12; -3.46945e-18; -3.46945e-18; 2.77556e-17; 0.269293; -0.168224; 0.243612
50; 6; 31; 3.46945e-18; 6.93889e-18; -5.55112e-17; -0.0514921; 0.0487103; -0.103255
