# FractureId; NumTraces
0; 11
# TraceId; Tips; Length
6; true; 2.36329
5; true; 1.98426
2; true; 1.84626
4; true; 1.36064
8; true; 1.03833
0; true; 0.969849
10; true; 0.884206
1; true; 0.337202
7; true; 0.179906
3; true; 0.131768
9; true; 0.0011217
# FractureId; NumTraces
1; 1
# TraceId; Tips; Length
11; true; 0.206084
# FractureId; NumTraces
2; 18
# TraceId; Tips; Length
24; true; 2.05589
14; true; 1.74261
27; true; 1.17117
12; true; 0.915128
29; true; 0.913506
15; true; 0.654654
26; true; 0.562034
23; true; 0.496203
17; true; 0.443895
18; true; 0.328065
28; true; 0.300929
25; true; 0.245713
13; true; 0.206084
22; true; 0.197573
19; true; 0.186137
20; true; 0.179906
16; true; 0.131768
21; true; 0.0166911
# FractureId; NumTraces
3; 10
# TraceId; Tips; Length
35; true; 1.36064
30; true; 1.16954
38; true; 0.884206
37; true; 0.452189
32; true; 0.438861
31; true; 0.337202
39; true; 0.300929
34; true; 0.131768
33; true; 0.0604841
36; true; 0.0166911
# FractureId; NumTraces
4; 9
# TraceId; Tips; Length
41; true; 2.25321
46; true; 0.884206
48; true; 0.577521
47; true; 0.494554
43; true; 0.443895
40; true; 0.337202
45; true; 0.214929
44; true; 0.179906
42; true; 0.131768
# FractureId; NumTraces
5; 41
# TraceId; Tips; Length
78; true; 2.05589
55; true; 1.99173
54; true; 1.74261
76; true; 1.72855
73; true; 1.62887
53; true; 1.57059
83; true; 1.42612
69; true; 1.38983
87; true; 1.28566
51; true; 1.25565
84; true; 1.17117
66; true; 1.10644
62; true; 0.938887
82; true; 0.929417
89; true; 0.913506
63; true; 0.898272
79; true; 0.779405
60; true; 0.704938
74; true; 0.694066
85; true; 0.69092
59; true; 0.672126
56; true; 0.654654
81; true; 0.562034
67; true; 0.49696
86; true; 0.494554
71; true; 0.391448
80; true; 0.339087
65; true; 0.328065
77; true; 0.309879
88; true; 0.300929
52; true; 0.211488
68; true; 0.186137
70; true; 0.179906
58; true; 0.15018
72; true; 0.127916
50; true; 0.115779
57; true; 0.101342
75; true; 0.0985075
49; true; 0.0601741
64; true; 0.0160715
61; true; 0.0158827
# FractureId; NumTraces
6; 43
# TraceId; Tips; Length
110; true; 2.36329
121; true; 2.05589
95; true; 1.99173
104; true; 1.98426
94; true; 1.74261
118; true; 1.72855
114; true; 1.62887
92; true; 1.57059
126; true; 1.42612
111; true; 1.38983
130; true; 1.28566
90; true; 1.25565
127; true; 1.17117
108; true; 1.10644
101; true; 0.938887
125; true; 0.929417
131; true; 0.913506
102; true; 0.898272
122; true; 0.779405
106; true; 0.721048
99; true; 0.704938
116; true; 0.694066
128; true; 0.69092
98; true; 0.672126
96; true; 0.654654
105; true; 0.580702
124; true; 0.562034
109; true; 0.49696
119; true; 0.496203
129; true; 0.494554
113; true; 0.391448
123; true; 0.339087
107; true; 0.328065
120; true; 0.309879
117; true; 0.275714
93; true; 0.257116
91; true; 0.211488
112; true; 0.179906
97; true; 0.15018
49; true; 0.0601741
115; true; 0.0166911
103; true; 0.0160715
100; true; 0.0158827
# FractureId; NumTraces
7; 9
# TraceId; Tips; Length
135; true; 1.91642
134; true; 0.654654
138; true; 0.508283
132; true; 0.337202
137; true; 0.328065
140; true; 0.300929
133; true; 0.206084
136; true; 0.131768
139; true; 0.0166911
# FractureId; NumTraces
8; 2
# TraceId; Tips; Length
141; true; 1.98426
142; true; 0.452189
# FractureId; NumTraces
9; 55
# TraceId; Tips; Length
189; true; 3.25765
154; true; 2.37263
172; true; 2.36329
148; true; 2.25321
183; true; 2.05589
165; true; 1.98426
151; true; 1.84626
150; true; 1.74261
175; true; 1.66714
176; true; 1.62887
162; true; 1.51438
158; true; 1.36064
178; true; 1.31361
192; true; 1.28566
193; true; 1.24558
191; true; 1.17117
194; true; 1.16584
169; true; 1.10644
180; true; 1.03833
0; true; 0.969849
195; true; 0.913506
190; true; 0.884206
186; true; 0.779405
160; true; 0.760187
168; true; 0.721048
159; true; 0.704938
164; true; 0.688128
152; true; 0.654654
144; true; 0.634291
145; true; 0.582451
167; true; 0.580702
196; true; 0.577521
188; true; 0.562034
143; true; 0.538638
155; true; 0.512886
170; true; 0.508283
173; true; 0.487296
184; true; 0.456481
182; true; 0.452189
177; true; 0.448653
163; true; 0.443895
185; true; 0.356992
187; true; 0.339087
166; true; 0.330953
147; true; 0.240421
179; true; 0.227536
146; true; 0.211488
149; true; 0.206084
174; true; 0.179906
157; true; 0.131768
171; true; 0.119103
153; true; 0.101342
156; true; 0.0604841
161; true; 0.0158827
181; true; 0.0011217
# FractureId; NumTraces
10; 13
# TraceId; Tips; Length
200; true; 1.19298
204; true; 0.926213
199; true; 0.72223
206; true; 0.496203
201; true; 0.438861
197; true; 0.337202
209; true; 0.298337
208; true; 0.245713
207; true; 0.214929
198; true; 0.206084
203; true; 0.186137
202; true; 0.131768
205; true; 0.0166911
# FractureId; NumTraces
11; 6
# TraceId; Tips; Length
215; true; 0.577521
213; true; 0.496203
210; true; 0.337202
214; true; 0.214929
212; true; 0.179906
211; true; 0.131768
# FractureId; NumTraces
12; 42
# TraceId; Tips; Length
249; true; 3.25765
226; true; 2.37263
241; true; 2.36329
220; true; 2.25321
243; true; 2.13496
248; true; 2.05589
237; true; 1.98426
224; true; 1.84626
223; true; 1.74261
244; true; 1.72855
235; true; 1.51438
231; true; 1.36064
242; true; 1.31361
217; true; 1.25565
254; true; 1.24558
251; true; 1.17117
246; true; 1.03833
255; true; 0.913506
233; true; 0.898272
250; true; 0.884206
234; true; 0.850677
232; true; 0.760187
